year,country,flow,intra_extra_EU,value_eur,volume_kg
2022,Ireland,Import,Intra EU,6061985.0,1062812.0
2022,Italy,Export,Extra EU,74999167.0,10062321.0
2022,Italy,Export,Intra EU,172249301.0,23952209.0
2022,Italy,Import,Extra EU,511692915.0,81098030.0
2022,Italy,Import,Intra EU,317842011.0,49050726.0
2022,Latvia,Export,Extra EU,666818.0,123890.0
2022,Latvia,Export,Intra EU,3084055.0,441991.0
2022,Latvia,Import,Extra EU,1377069.0,252845.0
2022,Latvia,Import,Intra EU,2070342.0,351174.0
2022,Lithuania,Export,Extra EU,23480.0,2771.0
2022,Lithuania,Export,Intra EU,752856.0,185615.0
2022,Lithuania,Import,Extra EU,1549257.0,331380.0
2022,Lithuania,Import,Intra EU,4372490.0,747077.0
2022,Luxembourg,Export,Extra EU,60.0,2.0
2022,Luxembourg,Export,Intra EU,119437.0,13803.0
2022,Luxembourg,Import,Intra EU,6781728.0,839285.0
2022,Malta,Export,Extra EU,3513.0,496.0
2022,Malta,Export,Intra EU,35579.0,2543.0
2022,Malta,Import,Extra EU,5943213.0,1207157.0
2022,Malta,Import,Intra EU,5345968.0,644173.0
2022,Netherlands,Export,Extra EU,29858814.0,6841134.0
2022,Netherlands,Export,Intra EU,350408554.0,67626972.0
2022,Netherlands,Import,Extra EU,180771182.0,40223579.0
2022,Netherlands,Import,Intra EU,92949596.0,15149134.0
2022,Poland,Export,Extra EU,396891.0,84177.0
2022,Poland,Export,Intra EU,3169743.0,507926.0
2022,Poland,Import,Extra EU,22499707.0,5194821.0
2022,Poland,Import,Intra EU,33075847.0,6545231.0
2022,Portugal,Export,Extra EU,19174601.0,3432534.0
2022,Portugal,Export,Intra EU,92813865.0,17612962.0
2022,Portugal,Import,Extra EU,44773409.0,12002012.0
2022,Portugal,Import,Intra EU,87347877.0,15345560.0
2022,Romania,Export,Extra EU,361869.0,62494.0
2022,Romania,Export,Intra EU,320845.0,93922.0
2022,Romania,Import,Extra EU,4950898.0,1130491.0
2022,Romania,Import,Intra EU,29527548.0,5627660.0
2022,Slovakia,Export,Extra EU,200274.0,35654.0
2022,Slovakia,Export,Intra EU,1413237.0,187472.0
2022,Slovakia,Import,Extra EU,1724327.0,341674.0
2022,Slovakia,Import,Intra EU,17328544.0,2954696.0
2022,Slovenia,Export,Extra EU,1167380.0,144404.0
2022,Slovenia,Export,Intra EU,1486183.0,351244.0
2022,Slovenia,Import,Extra EU,776632.0,203936.0
2022,Slovenia,Import,Intra EU,22337661.0,3335735.0
2022,Spain,Export,Extra EU,67693925.0,10091951.0
2022,Spain,Export,Intra EU,544173411.0,85962404.0
2022,Spain,Import,Extra EU,760367282.0,150269924.0
2022,Spain,Import,Intra EU,82123916.0,15601394.0
2022,Sweden,Export,Extra EU,25454.0,9022.0
2022,Sweden,Export,Intra EU,234805.0,45032.0
2022,Sweden,Import,Extra EU,18496499.0,3958660.0
2022,Sweden,Import,Intra EU,10679239.0,2094780.0
2023,Austria,Export,Extra EU,1468575.0,203825.0
2023,Austria,Export,Intra EU,26535245.0,5539094.0
2023,Austria,Import,Extra EU,3310808.0,785296.0
2023,Austria,Import,Intra EU,59471487.0,8870102.0
2023,Belgium,Export,Extra EU,4946988.0,878107.0
2023,Belgium,Export,Intra EU,29733377.0,5101845.0
2023,Belgium,Import,Extra EU,39267450.0,7747564.0
2023,Belgium,Import,Intra EU,71154221.0,12296301.0
2023,Bulgaria,Export,Extra EU,1703213.0,387609.0
2023,Bulgaria,Export,Intra EU,732983.0,127649.0
2023,Bulgaria,Import,Extra EU,1204922.0,302920.0
2023,Bulgaria,Import,Intra EU,6712721.0,1466358.0
2023,Croatia,Export,Extra EU,2817636.0,332019.0
2023,Croatia,Export,Intra EU,1026161.0,116876.0
2023,Croatia,Import,Extra EU,1886107.0,424637.0
2023,Croatia,Import,Intra EU,22191229.0,3289939.0
2023,Cyprus,Import,Extra EU,5551967.0,1090130.0
2023,Cyprus,Import,Intra EU,4058420.0,610477.0
2023,Czechia,Export,Extra EU,45111.0,9363.0
2023,Czechia,Export,Intra EU,13380530.0,2265143.0
2023,Czechia,Import,Extra EU,12196081.0,2582724.0
2023,Czechia,Import,Intra EU,37772583.0,5708071.0
2023,Denmark,Export,Extra EU,851711.0,129560.0
2023,Denmark,Export,Intra EU,1362392.0,186377.0
2023,Denmark,Import,Extra EU,17012514.0,3599732.0
2023,Denmark,Import,Intra EU,17201514.0,3159894.0
2023,Estonia,Export,Extra EU,2961.0,2158.0
2023,Estonia,Export,Intra EU,58905.0,10278.0
2023,Estonia,Import,Extra EU,411665.0,86164.0
2023,Estonia,Import,Intra EU,1594445.0,285692.0
2023,Finland,Export,Extra EU,12.0,1.0
2023,Finland,Export,Intra EU,116496.0,17101.0
2023,Finland,Import,Extra EU,20840247.0,4261970.0
2023,Finland,Import,Intra EU,12870317.0,1819921.0
2023,France,Export,Extra EU,2763914.0,550371.0
2023,France,Export,Intra EU,18972666.0,3502002.0
2023,France,Import,Extra EU,339507491.0,61270518.0
2023,France,Import,Intra EU,209426798.0,32811553.0
2023,Germany,Export,Extra EU,927419.0,121767.0
2023,Germany,Export,Intra EU,70173170.0,15010174.0
2023,Germany,Import,Extra EU,227307605.0,49829539.0
2023,Germany,Import,Intra EU,178749978.0,30476541.0
2023,Greece,Export,Extra EU,548802.0,67322.0
2023,Greece,Export,Intra EU,4626648.0,663369.0
2023,Greece,Import,Extra EU,11503608.0,2288226.0
2023,Greece,Import,Intra EU,29856987.0,3949246.0
2023,Hungary,Export,Extra EU,1486251.0,131549.0
2023,Hungary,Export,Intra EU,621813.0,86109.0
2023,Hungary,Import,Extra EU,1028167.0,226820.0
2023,Hungary,Import,Intra EU,19863895.0,2986800.0
2023,Ireland,Export,Extra EU,589829.0,128712.0
2023,Ireland,Export,Intra EU,12594.0,2155.0
2023,Ireland,Import,Extra EU,14827473.0,2900585.0
2023,Ireland,Import,Intra EU,6575307.0,860566.0
2023,Italy,Export,Extra EU,89055076.0,10381587.0
2023,Italy,Export,Intra EU,159825152.0,20433091.0
2023,Italy,Import,Extra EU,506584330.0,77600119.0
2023,Italy,Import,Intra EU,379691434.0,53950808.0
2023,Latvia,Export,Extra EU,632095.0,104973.0
2023,Latvia,Export,Intra EU,2344305.0,343140.0
2023,Latvia,Import,Extra EU,823695.0,157409.0
2023,Latvia,Import,Intra EU,2592341.0,423641.0
2023,Lithuania,Export,Extra EU,91715.0,13644.0
2023,Lithuania,Export,Intra EU,1122279.0,213615.0
2023,Lithuania,Import,Extra EU,1477016.0,296796.0
2023,Lithuania,Import,Intra EU,4527162.0,665586.0
2023,Luxembourg,Export,Extra EU,413.0,21.0
2023,Luxembourg,Export,Intra EU,126344.0,12572.0
2023,Luxembourg,Import,Intra EU,6643481.0,801415.0
2023,Malta,Export,Extra EU,32.0,1.0
2023,Malta,Import,Extra EU,5425384.0,1103872.0
2023,Malta,Import,Intra EU,5335101.0,649410.0
